"rep_num","Arc","Egr2","Nr4a1","center_x","center_y"
1,5,0,2,1551.89604752113,1026.16358236235
1,21,0,10,6724.09388038943,1027.42124478442
1,4,0,1,5095.09335353153,1023.69134633592
1,0,0,0,2831.47185648453,1026.00427913101
1,1,0,4,6352.28349120433,1030.6048714479
1,11,5,2,2450.00831305758,1031.0804947283
1,7,2,5,7427.62672639044,1034.18103770063
1,34,14,9,4622.21371769384,1038.52435387674
1,1,0,2,5761.37183012527,1032.8609838069
1,1,0,2,7357.48408812729,1050.25734394125
1,2,0,4,2989.75097478555,1043.17052248505
1,0,3,11,4003.51417133707,1034.85764611689
1,2,0,0,5717.24390765284,1054.40466011116
1,1,5,4,6983.00895061728,1042.9375
1,4,0,0,3519.99973283462,1046.16537536735
1,2,0,0,1908.26599326599,1059.65563037785
1,5,0,0,7207.58938738328,1063.93486677294
1,21,0,1,2718.21996446813,1064.62291805463
1,0,1,11,3018.48750726322,1090.32800697269
1,2,1,1,5142.53017444602,1078.47972654408
1,7,0,0,4472.08938673908,1084.33808553971
1,2,0,1,5862.32415150025,1086.07427447122
1,2,1,0,3529.8413729128,1099.39494434137
1,1,0,0,3399.2545342127,1090.87695795548
1,13,2,2,2481.69707769066,1098.73823948681
1,1,0,1,3956.15711754282,1099.94920259894
1,2,0,0,6353.06032350143,1108.8608943863
1,6,0,0,7164.16835899116,1103.14608581723
1,1,0,0,1058.12609902823,1110.25092549745
1,0,1,0,1972.67834747326,1097.58207303578
1,2,0,15,3652.46303162486,1106.89400218103
1,4,2,5,3715.42221242838,1110.48325253416
1,6,2,1,1409.0627925117,1110.75390015601
1,0,3,10,6998.07037136706,1122.06135629709
1,1,0,0,6871.6935033878,1120.29912315664
1,5,0,0,6724.05513561583,1118.88291092337
1,0,0,0,2155.42670157068,1123.57108336689
1,2,0,0,1498.53046062407,1130.59187716691
1,2,3,12,2785.07167042889,1126.93829947329
1,0,1,1,5906.50898321816,1135.54708785785
1,1,3,1,2252.85499816917,1132.45770779934
1,4,0,3,2412.09232175503,1129.43053016453
1,3,1,1,8091.07925361156,1138.43920545746
1,15,0,6,4403.31513859275,1139.68614072495
1,3,0,0,6937.1535735381,1155.8314628864
1,0,0,0,1967.27894580989,1144.3082617708
1,24,1,15,7940.90037771483,1157.07448064212
1,14,5,0,1649.90059119772,1159.3639150427
1,1,1,3,7626.07715976331,1145.85372781065
1,0,0,2,2356.39363444886,1160.83220219986
1,7,17,10,3481.75256137638,1167.48231200464
1,1,0,10,7085.19358057542,1163.93696989855
1,23,19,5,2687.92124515851,1153.77234256204
1,2,2,2,6056.5974025974,1170.2388343364
1,8,0,0,1954.76545801527,1197.16316793893
1,11,1,9,4884.10309278351,1169.18532725965
1,2,0,0,7734.02164066432,1178.29592350277
1,4,2,0,7371.01588611512,1180.25459046833
1,12,0,0,7868.63042938694,1184.76296847853
1,11,0,11,7605.99342585829,1191.99099099099
1,10,21,13,3083.62653061225,1194.27224489796
1,1,0,0,6740.26435952896,1184.78731074261
1,1,0,0,2625.00614401573,1186.83779798476
1,2,1,1,8202.70597243492,1187.98430321593
1,3,0,0,4821.80624126688,1178.89403819283
1,4,1,1,7789.94302325581,1194.26023255814
1,9,2,2,8152.75597189696,1188.03442622951
1,6,0,2,3823.38640059128,1190.54471544715
1,0,1,3,4686.22807394669,1196.68056749785
1,11,0,0,4472.27822286963,1193.10269482884
1,2,1,0,1332.20471437673,1212.86345296241
1,12,1,1,2672.64386056191,1222.30697190427
1,5,0,0,5266.85494847365,1205.49854170717
1,15,3,7,1796.36799017601,1210.2533769955
1,7,8,7,2886.42645676692,1211.98872180451
1,5,0,0,4427.62325456498,1217.89393125671
1,0,0,2,2039.58430157501,1217.67854376452
1,5,0,0,5681.7894245142,1217.63490284006
1,4,0,0,2295.72387320456,1213.73600792472
1,0,1,0,1025.68400520156,1212.91436002229
1,3,0,1,4319.8583106267,1220.43475628217
1,2,0,1,8315.95205691308,1206.31673368388
1,13,0,14,7559.56099009901,1227.06653465347
1,0,2,6,1081.74521753851,1218.38395124429
1,5,0,0,4844.09398496241,1236.11842105263
1,2,0,0,8118.07107574094,1228.00356750823
1,4,0,0,6758.12281879195,1229.94026845638
1,1,0,0,7117.05687357816,1225.66753331167
1,13,9,6,3428.19243331519,1226.37969515514
1,0,1,2,2385.73850197109,1219.3173455979
1,3,0,1,7495.57796885894,1227.77620264931
1,5,3,1,1869.94144838213,1227.93110279551
1,19,1,0,5911.68245453356,1245.57071830433
1,5,1,0,4955.72751475865,1227.5807385114
1,2,2,0,6573.27930938457,1238.96407685881
1,2,0,1,8337.35663034813,1253.32022322615
1,3,0,4,6433.89580451821,1254.1438450899
1,2,0,0,3379.07937285644,1257.8392944635
1,0,0,2,3704.94116268167,1256.75386779184
1,5,0,0,5451.78525564804,1252.32532699168
1,3,0,1,2384.65264473136,1271.60932944606
1,5,2,0,5241.70779685265,1265.82367668097
1,1,0,0,4136.3367293167,1265.93764271913
1,3,1,1,2951.42537006579,1271.75164473684
1,6,0,2,1988.34897360704,1277.53445747801
1,0,0,6,1609.27168169102,1277.95741373951
